judul
Perancangan sistem informasi sumber daya manusia untuk usaha mikro kecil dan menengah
Arsitektur sistem informasi lembaga pengelola zakat infaq dan sedekah
Merancang sistem dasbor cerdas menuju kepemimpinan digital dalam organisasi waralaba
Desain arsitektur layanan mikro untuk autograder menggunakan arsitektur terdistribusi
Analisis kebutuhan untuk sistem autograder menggunakan model use case
Edukasi Cara Berpikir Komputasi Melalui Tantangan Bebras 2020 di Garut
Merancang produk perangkat lunak dengan kerangka sprint desain Google Ventures in startup
